Site,Date,Depth,Fe,Al,Mn,Ca,K,Na,Mg,F,Cl,SO4,Br,NO3,NH4,NO2,TDN,DIC (ppm),DIC 13C,DOC,DOC 13C,pCO2,TDP (ug/L),SRP (ug/L),TP (ug/L),TSS,Chl a
clc,2017-06-21,2,0.033,-0.036,0.01,65.49,2.56,11.36,19.28,,,,,,0.07,0.05,5.6,39.47,-9.91,5.3,,,9.96,2.39,14.99,,
clc,2017-06-21,7,0.034,-0.034,0.009,65.81,2.544,11.47,19.16,0,18.62,11.27,0.09,4.81,0.08,0.05,5.52,40.67,-9.94,5.27,,,9.69,2.27,12.75,,
clc,2017-06-21,16,0.037,-0.028,0.009,67.15,2.643,11.22,18.98,0.02,18.78,11.19,0.09,4.98,0.17,0.09,5.78,43.98,-11,5.51,,,40.17,31.25,43.89,,
clc,2017-07-05,2,0.054,-0.061,0.007,52.52,3.277,7.335,14.59,0.04,12.2,8.86,0.12,5.65,0.05,0.06,5.86,,,5.05,,,85.77,65.2,103.48,1.71,
clc,2017-07-05,7,0.053,-0.061,0.007,53.14,2.144,8.87,14.59,0.03,12.07,7.67,0.09,5.64,0.08,0.07,5.73,,,4.8,,,92.69,73.98,116.31,5.43,
clc,2017-07-05,16,0.058,-0.057,0.157,63.44,3.485,8.842,17.51,0.03,13.72,10.64,0.15,5.06,0.31,0.08,5.53,,,5.51,,,76.62,61.21,118.78,17.96,
clc,2017-07-14,2,0.043,-0.064,0.007,54.38,3.206,7.723,14.93,0.02,12.62,9.27,0.13,5.32,0.04,0.07,5.76,32.02,-10.71,6.34,,,43.75,29.3,51.4,0.8,
clc,2017-07-14,7,0.044,-0.053,0.007,54.38,3.299,7.552,15.17,0,12.38,9.23,0.16,5.32,0.06,0.07,5.4,32.65,-10.89,5.78,,,44.23,33.13,53.14,1.56,
clc,2017-07-14,16,0.044,-0.053,0.007,54.38,3.299,7.552,15.17,0.03,13.38,9.97,0.13,5.19,0.13,0.26,5.45,41.34,-12.59,6.23,,,90.32,74.18,98.65,3.82,
clc,2017-07-18,2,0.035,-0.057,0.008,56.19,3.191,8.1705,15.785,0.01,12.81,9.35,0.12,5.11,0.1,0.15,5.68,31.07,,5.65,,,18.34,3.72,30.17,1.38,
clc,2017-07-18,7,0.053,-0.039,0.008,54.88,3.338,7.507,15.62,0.02,12.66,9.45,0.22,5.31,0.05,0.25,5.97,35.27,,5.67,,,60.26,41.35,63.2,2.24,
clc,2017-07-18,16,0.053,-0.039,,54.88,3.338,7.507,15.62,0.02,13.05,9.94,0.25,5.2,0.02,0.34,5.91,41.64,,5.46,,,92.09,76.51,105.03,3.99,
clc,2017-07-25,2,0.038,-0.055,0.007,51.52,3.288,7.666,15.67,0.03,12.97,9.38,0.14,4.78,0.03,0.05,5.47,30.94,-9.5,6.02,,,14.33,1.59,29.34,7.21,
clc,2017-07-25,7,0.037,-0.053,0.007,52.43,2.75,8.248,15.49,0.02,13.04,8.76,0.18,4.81,0.02,0.07,5.51,31.39,-9.57,5.62,,,14.82,1.85,23.62,5.45,
clc,2017-07-25,16,0.055,-0.035,0.046,57.33,3.436,7.737,15.99,0.02,12.89,9.66,0.16,5.12,0.04,0.1,5.75,40.7,-12.23,5.48,,,94.65,76.24,108.47,8,
clc,2017-08-01,2,0.035,-0.055,0.007,52.34,3.336,7.961,15.95,0.04,13.24,9.51,0.15,4.64,0.03,0.06,5.58,,-9.29,5.92,,,12,3.59,33.03,4.59,
clc,2017-08-01,7,0.04,-0.049,0.007,53.87,3.362,7.989,16.37,0.03,13.49,8.46,0.1,4.68,0.03,0.13,5.44,,-10.74,5.69,,,12.43,2.46,21.82,2.23,
clc,2017-08-01,15,0.047,-0.043,0.031,61.82,3.499,9.727,18.35,0.03,15.2,12.75,0.29,4.24,0.01,0.17,5,,-12.06,6.13,,,66.33,54,81.47,8.63,
clc,2017-08-10,2,0.034,-0.053,0.007,54.26,2.674,9.038,16.8,0,13.87,9.83,0.15,4.23,0.01,0.12,4.35,,,5.24,,,11.62,1.93,29.7,7.08,
clc,2017-08-10,7,0.037,-0.035,0.007,54.11,2.8,8.9805,16.79,0.02,14.47,10.34,0.17,4.29,0.03,0.12,4.24,,,5.02,,,12.23,1.55,22.14,4.43,
clc,2017-08-10,15,0.045,-0.027,0.146,58.52,3.401,9.13,17.87,0.02,14.96,10.39,0.17,3.47,0.14,0.32,3.78,,,4.95,,,29.31,21.41,52.75,13.75,
clc,2017-08-17,2,0.026,-0.038,0.007,48.36,3.211,8.167,15.59,0.05,14.02,8.96,0.12,3.99,<dl,0.2,4.24,30.55,-9.14,5.28,,,15.53,1.52,26.57,4.15,
clc,2017-08-17,7,0.016,-0.04,0.004,48.61,2.722,8.732,15.78,0.09,14.65,9.99,0.15,3.89,<dl,0.23,4.12,34.76,-10.27,5.33,,,8.44,2.04,22.23,2.77,
clc,2017-08-17,15,0.019,-0.033,0.081,50.78,3.386,8.834,16.24,0.03,14.54,10.31,0.18,3.37,0.1,0.3,3.76,44.36,-10.84,5.12,,,22.94,11.57,39.71,11.19,
cle,2017-07-05,2,0.046,-0.042,0.007,58.85,3.249,8.155,16.7,0.02,13.49,8.75,0.1,5.63,<dl,0.05,5.65,,,5.02,,,41.59,24.61,68.65,20,
cle,2017-07-05,8,0.046,-0.056,0.031,77.97,2.987,11.96,23.3,0.03,18.61,11.4,0.14,5.43,0.1,0.03,5.57,,,5.63,,,52.72,29.15,83.72,31,
cle,2017-07-11,2,0.038,-0.045,0.009,57.36,3.269,8.889,17.29,0.03,14.25,10.37,0.16,5.12,0.06,0.06,5.85,35.43,-9.35,6.98,,,22.08,6.75,39.19,3.74,
cle,2017-07-11,8,0.047,-0.051,0.043,64.4,3.326,9.135,18.39,0.02,14.69,10.85,0.17,4.88,0.22,0.17,5.66,44.23,-11.67,6.23,,,71.35,63.87,98.62,12.9,
cle,2017-07-19,2,0.035,-0.04,0.009,53.7,3.207,8.519,16.8,0.02,14,9.99,0.16,4.58,0.02,0.06,5.14,30.66,,6.25,,,13.95,1.61,55.66,10.12,
cle,2017-07-19,8,0.064,-0.021,0.116,67.82,3.331,11.09,21.27,0.02,18.01,11.96,0.19,3.24,0.31,0.15,4,46.76,,6.03,,,63.68,47.92,94.61,26.38,
cle,2017-07-25,2,0.041,-0.034,0.008,55.22,3.318,9.628,18.57,0.02,15.65,9.98,0.14,3.92,0.07,0.07,4.51,35.43,-8.82,6.02,,,12.24,2.16,35.2,6.2,
cle,2017-07-25,8,0.101,0.026,0.032,65.21,4.065,11.44,20.23,0.01,17.44,9.83,0.17,3.78,0.12,0.04,4.39,44.1,-10.83,6.64,,,55.25,38.7,103.92,42.56,
cle,2017-07-31,2,0.038,-0.03,0.007,55.18,2.862,9.684,17.61,0.05,14.95,8.93,0.11,4.13,0.01,0.08,4.7,34.5,-9.03,6.31,,,18.45,1.56,49.44,8.06,
cle,2017-07-31,7,0.053,-0.02,0.025,60.95,3.5,10.42,19.71,0.04,17.62,10.36,0.13,3.81,0.1,0.07,4.26,40.36,-9.33,6.22,,,22.18,10.05,85.96,32.8,
cle,2017-08-10,2,0.041,-0.026,0.008,54.85,3.415,9.349,18.06,0.02,15.21,10.61,0.18,3.86,0.04,0.09,3.93,,-8.98,5.18,,,13.6,2.05,46.09,8.34,
cle,2017-08-10,6.5,0.054,-0.018,0.02,57.41,3.451,10.9,20.46,0.03,17.89,11.88,0.16,2.74,0.2,0.08,3.03,,-9.61,5.32,,,25.24,12.29,70.3,24.8,
cle,2017-08-17,2,0.014,-0.034,0.004,42.17,3.229,9.042,16.67,0.03,15.52,9.61,0.13,3.34,<dl,0.08,3.39,,-7.27,5.33,,,7.79,2.52,52.52,12.17,
cle,2017-08-17,6.5,0.02,-0.033,0.043,49.94,3.334,10.23,18.32,0.03,16.18,9.9,0.14,3.03,0.02,0.19,2.91,,-9.87,5.29,,,11.12,3.2,79.61,35.55,
clw,2017-07-11,2,0.036,-0.031,0.007,55.06,3.23,7.949,15.59,0.03,12.83,9.58,0.17,5.43,0.02,0.05,6.03,31.85,-9.5,6.43,,,29.83,13.48,39.55,1.66,
clw,2017-07-11,7,0.05,-0.02,0.007,54.42,3.439,7.434,15.5,0.02,12.65,9.52,0.16,5.48,0.04,0.07,5.96,35.54,-10.22,6.05,,,57.8,45.09,62.97,2.77,
clw,2017-07-11,10,0.063,-0.009,0.012,54.82,3.426,7.248,15.52,0,12.3,9.47,0.14,5.22,0.03,0.19,6.01,37.66,-11.6,5.79,,,79.21,67.43,91.81,9.76,
clw,2017-07-19,2,0.042,-0.024,0.007,55.52,3.361,7.703,15.83,0.02,12.85,8.71,0.12,5.18,0.01,0.07,5.69,31.37,,5.55,,,19.64,4.35,40.03,4.75,
clw,2017-07-19,7,0.057,0.001,0.007,56.43,2.869,8.515,16.26,0.02,12.58,9.61,0.17,4.98,0.07,0.11,5.54,34.85,,5.46,,,48.58,32.1,65.02,8.7,
clw,2017-07-19,10,0.066,0,0.015,56.79,3.417,7.637,15.95,0.02,12.65,9.86,0.16,5.13,0.06,0.23,5.81,37.03,,5.61,,,80.91,67,93.28,9.06,
clw,2017-07-25,2,0.036,-0.029,0.007,53.04,3.276,7.859,16.12,0.02,13.21,9.52,0.15,4.76,0.01,0.07,5.44,30.97,-8.57,6.1,,,11.83,1.68,38.37,8.31,
clw,2017-07-25,7,0.037,-0.023,0.007,53.75,3.327,8.064,16.18,0.03,13.18,8.95,0.12,4.76,0.13,0.09,5.37,32.15,-9.12,5.55,,,13.56,1.65,39.87,7.41,
clw,2017-07-25,10,0.058,-0.002,0.031,56.93,3.374,7.927,16.52,0.02,13.15,9.99,0.16,4.85,0.03,0.18,5.53,38.87,-11.06,5.39,,,58.16,41.59,74.47,17.89,
clw,2017-07-31,2,0.036,-0.026,0.007,53.77,3.32,8.103,16.48,0.03,13.41,8.39,0.1,4.63,0.04,0.09,5.26,32.55,-8.93,6,,,13.04,1.91,36.44,5.11,
clw,2017-07-31,7,0.042,-0.018,0.007,55.22,2.808,9.125,16.79,0.02,13.92,9.64,0.15,4.55,0.04,0.12,5.16,35.86,-9.8,5.97,,,18.04,8.29,29.55,5.78,
clw,2017-07-31,9,0.038,-0.025,0.016,55.87,3.465,8.062,16.65,0.02,13.8,10.02,0.17,4.31,0.09,0.15,5.04,35.98,-10.46,5.8,,,21.89,8.33,91.59,15.26,
clw,2017-08-10,2,0.035,-0.021,0.007,54.59,3.312,8.652,17.22,0.01,14.05,9.04,0.11,4.23,<dl,0.1,4.22,,-8.89,5.22,,,8.37,1.9,34.69,6.26,
clw,2017-08-10,7,0.035,-0.02,0.007,53.83,2.787,9.353,17.3,0,14.19,10.1,0.16,4.19,0.02,0.12,4.34,,-9.29,5.29,,,13.07,1.72,34.08,5.79,
clw,2017-08-10,9,0.044,-0.012,0.015,54.1,3.407,8.414,17.23,0,13.95,9.59,0.14,3.68,0.04,0.13,3.92,,-8.74,5.16,,,16.37,3.85,85.01,23.97,
clw,2017-08-17,2,0.011,-0.038,0.003,44.72,2.711,8.651,15.6,0.04,14.13,8.8,0.12,3.89,<dl,0.12,3.94,,-7.51,5.14,,,13.24,1.23,47.04,6.24,
clw,2017-08-17,7,0.012,-0.037,0.003,45.47,3.366,8.218,15.77,0.03,14.16,8.95,0.13,3.89,<dl,0.13,4,,-7.88,5.22,,,8.72,2.2,39.67,8.87,
clw,2017-08-17,8.5,0.022,-0.0225,0.01,47.435,2.9165,8.705,15.74,0.03,14.17,10.18,0.19,3.6,0.04,0.14,3.73,,-9.07,5.19,,,11.12,2.14,87.89,34.32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
